"scenario","key","measure","type","year","value"
"IEA6","households",,"households.urban","2011",1361198511
"IEA6","households",,"households.urban","2015",1516180598
"IEA6","households",,"households.urban","2020",1700091449
"IEA6","households",,"households.urban","2025",1890950144
"IEA6","households",,"households.urban","2030",2084424006
"IEA6","households",,"households.urban","2035",2271492537
"IEA6","households",,"households.urban","2040",2459944621
"IEA6","households",,"households.urban","2045",2640342650
"IEA6","households",,"households.urban","2050",2823563333
"IEA6","households",,"households.urban.no.elec","2011",91521351.35
"IEA6","households",,"households.urban.no.elec","2015",86458142.61
"IEA6","households",,"households.urban.no.elec","2020",84534933.93
"IEA6","households",,"households.urban.no.elec","2025",76093531.66
"IEA6","households",,"households.urban.no.elec","2030",64466721.84
"IEA6","households",,"households.urban.no.elec","2035",58243398.37
"IEA6","households",,"households.urban.no.elec","2040",50202951.44
"IEA6","households",,"households.urban.no.elec","2045",53884543.88
"IEA6","households",,"households.urban.no.elec","2050",57623741.49
"IEA6","households",,"households.rural","2011",566888809.4
"IEA6","households",,"households.rural","2015",596067704.2
"IEA6","households",,"households.rural","2020",620285577.5
"IEA6","households",,"households.rural","2025",646774375
"IEA6","households",,"households.rural","2030",672206693.6
"IEA6","households",,"households.rural","2035",693914914.8
"IEA6","households",,"households.rural","2040",714445209.2
"IEA6","households",,"households.rural","2045",731074267.1
"IEA6","households",,"households.rural","2050",743425738
"IEA6","households",,"households.rural.no.elec","2011",266771204.4
"IEA6","households",,"households.rural.no.elec","2015",256740005.1
"IEA6","households",,"households.rural.no.elec","2020",249487557
"IEA6","households",,"households.rural.no.elec","2025",237305705.9
"IEA6","households",,"households.rural.no.elec","2030",224068897.9
"IEA6","households",,"households.rural.no.elec","2035",213163405.2
"IEA6","households",,"households.rural.no.elec","2040",201510187.2
"IEA6","households",,"households.rural.no.elec","2045",188516006
"IEA6","households",,"households.rural.no.elec","2050",174383815.1
"IEA6","cool","efficiency","cooling.airconditioners.urban","2011",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2015",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2020",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2025",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2030",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2035",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2040",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2045",2
"IEA6","cool","efficiency","cooling.airconditioners.urban","2050",2
"IEA6","cool","efficiency","cooling.chillers.urban","2011",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2015",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2020",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2025",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2030",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2035",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2040",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2045",1.8
"IEA6","cool","efficiency","cooling.chillers.urban","2050",1.8
"IEA6","cool","efficiency","cooling.solarcooling.urban","2011",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2015",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2020",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2025",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2030",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2035",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2040",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2045",1
"IEA6","cool","efficiency","cooling.solarcooling.urban","2050",1
"IEA6","cool","efficiency","cooling.airconditioners.rural","2011",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2015",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2020",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2025",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2030",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2035",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2040",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2045",2
"IEA6","cool","efficiency","cooling.airconditioners.rural","2050",2
"IEA6","cool","efficiency","cooling.chillers.rural","2011",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2015",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2020",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2025",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2030",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2035",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2040",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2045",1.8
"IEA6","cool","efficiency","cooling.chillers.rural","2050",1.8
"IEA6","cool","efficiency","cooling.solarcooling.rural","2011",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2015",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2020",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2025",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2030",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2035",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2040",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2045",1
"IEA6","cool","efficiency","cooling.solarcooling.rural","2050",1
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2011",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2015",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2020",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2025",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2030",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2035",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2040",2.5
"IEA6","cool","efficiency","cooling.airconditioners.non residential","2045",2.5
