"Reference.Article","year","location","scale","species","iLUC.type","dLUC.type","Inclusion_iLUC","Grassland","Forest","Palm","energy.type","generation","allocation","GHG.emissions.of.bioenergy","min.fossil","max.fossil","C.amortizing.period.yrs"
"Acquaye AA et al 2012",2012,"UK","country","soybean",,,1,,,0,"biodiesel","1G",,54.1,84,94,20
"Acquaye AA et al 2012",2012,"UK","country","rapessed",,,1,,,0,"biodiesel","1G",,91.5,84,94,20
"Acquaye AA et al 2012",2012,"UK","country","palm oil",,,1,,,1,"biodiesel","1G",,58,84,94,20
"Acquaye AA et al 2012",2012,"UK","country","sugarcane",,,1,,,0,"bioethanol","1G",,43.1,84,94,20
"Acquaye AA et al 2012",2012,"UK","country","sugar beet",,,1,,,0,"bioethanol","1G",,33.5,84,94,20
"Acquaye AA et al 2012",2012,"UK","country","corn",,,1,,,0,"bioethanol","1G",,92.9,84,94,20
"Cherubini F & Ulgiati S 2010",2010,"austria","country","corn stover","no iLUC",,0,,,0,"bioethanol","2G",,137,84,94,20
"Cherubini F & Ulgiati S 2010",2010,"austria","country","wheat straw","no iLUC",,0,,,0,"bioethanol","2G",,130,84,94,20
"Cocco D et al 2014",2014,"Italy","region","rapeseed",,"Cropland (wheat)",0,0,0,0,"biodiesel","1G","energy",34.45,84,94,100
"Cocco D et al 2014",2014,"Italy","region","ethiopian mustard",,"Cropland (wheat)",0,0,0,0,"biodiesel","1G","energy",38.21,84,94,100
"Cocco D et al 2014",2014,"Italy","region","cardoon",,"Cropland (wheat)",0,0,0,0,"biodiesel","1G","energy",24.54,84,94,100
"de Souza SP et al 2010",2010,"Brazil","country","palm oil",,"natural forest",1,,1,1,"biodiesel","1G","mass",18.06,84,94,39
"Debolt S et al 2009",2009,"USA","Region","Switchgrass and big bluestem and easters gamgrass",,"abanded mine land and abanded agricultural land",0,0,0,0,"bioethanol","2G",,25,84,94,10
"Egeskog A et al 2014",2014,"Brazil","region","sugarcane","no iLUC","grassland and arawheatland",0,1,0,0,"bioethanol","1G",,24,84,94,20
"Ericsson N et al 2013",2013,"sweden","country","willow",,"fallow",0,0,0,0,"biogas",,,-6.01,100,200,25
"Falano T et al 2014",2014,"UK","country","straw wheat",,,0,,,0,"bioethanol","2G","system expansion",0.88,84,94,20
"Falano T et al 2014",2014,"UK","country","straw wheat",,,0,,,0,"bioethanol","2G","economic",23.44,84,94,20
"Falano T et al 2014",2014,"UK","country","forest residues",,,0,,,0,"bioethanol","2G","system expansion",-9.16,84,94,20
"Falano T et al 2014",2014,"UK","country","forest residues",,,0,,,0,"bioethanol","2G","economic",11.25,84,94,20
"Falano T et al 2014",2014,"UK","country","poplar",,,0,,,0,"bioethanol","2G","system expansion",-11.76,84,94,20
"Falano T et al 2014",2014,"UK","country","poplar",,,0,,,0,"bioethanol","2G","system expansion",-11.77,84,94,20
"Falano T et al 2014",2014,"UK","country","poplar",,,0,,,0,"bioethanol","2G","economic",14.04,84,94,20
"Falano T et al 2014",2014,"UK","country","miscanthus",,,0,,,0,"bioethanol","2G","system expansion",-6.46,84,94,20
