"scenario","type","year","energy"
"iea6","heavy.truck.domestic.ICE.liquid","2011",3986
"iea6","heavy.truck.domestic.ICE.liquid","2015",4483.9
"iea6","heavy.truck.domestic.ICE.liquid","2020",5444.2
"iea6","heavy.truck.domestic.ICE.liquid","2025",6220
"iea6","heavy.truck.domestic.ICE.liquid","2030",6682.2
"iea6","heavy.truck.domestic.ICE.liquid","2035",6914.5
"iea6","heavy.truck.domestic.ICE.liquid","2040",6975.7
"iea6","heavy.truck.domestic.ICE.liquid","2045",6912.1
"iea6","heavy.truck.domestic.ICE.liquid","2050",6811.1
"iea6","heavy.truck.domestic.ICE.gas","2011",0
"iea6","heavy.truck.domestic.ICE.gas","2015",47.3
"iea6","heavy.truck.domestic.ICE.gas","2020",90.3
"iea6","heavy.truck.domestic.ICE.gas","2025",141.4
"iea6","heavy.truck.domestic.ICE.gas","2030",193.8
"iea6","heavy.truck.domestic.ICE.gas","2035",245
"iea6","heavy.truck.domestic.ICE.gas","2040",292.9
"iea6","heavy.truck.domestic.ICE.gas","2045",336.6
"iea6","heavy.truck.domestic.ICE.gas","2050",378.4
"iea6","heavy.truck.domestic.PH","2011",0
"iea6","heavy.truck.domestic.PH","2015",42.3
"iea6","heavy.truck.domestic.PH","2020",80.7
"iea6","heavy.truck.domestic.PH","2025",126.3
"iea6","heavy.truck.domestic.PH","2030",173.2
"iea6","heavy.truck.domestic.PH","2035",218.9
"iea6","heavy.truck.domestic.PH","2040",261.8
"iea6","heavy.truck.domestic.PH","2045",300.8
"iea6","heavy.truck.domestic.PH","2050",338.2
"iea6","heavy.truck.domestic.EV","2011",0
"iea6","heavy.truck.domestic.EV","2015",5.8
"iea6","heavy.truck.domestic.EV","2020",6.2
"iea6","heavy.truck.domestic.EV","2025",6.1
"iea6","heavy.truck.domestic.EV","2030",5.4
"iea6","heavy.truck.domestic.EV","2035",4.4
"iea6","heavy.truck.domestic.EV","2040",3.1
"iea6","heavy.truck.domestic.EV","2045",1.6
"iea6","heavy.truck.domestic.EV","2050",0
"iea6","heavy.truck.domestic.H2","2011",0
"iea6","heavy.truck.domestic.H2","2015",20.5
"iea6","heavy.truck.domestic.H2","2020",21.9
"iea6","heavy.truck.domestic.H2","2025",21.4
"iea6","heavy.truck.domestic.H2","2030",18.4
"iea6","heavy.truck.domestic.H2","2035",14.5
"iea6","heavy.truck.domestic.H2","2040",10
"iea6","heavy.truck.domestic.H2","2045",5.1
"iea6","heavy.truck.domestic.H2","2050",0
"iea6","train.freight.domestic.fuel","2011",189
"iea6","train.freight.domestic.fuel","2015",205.3
"iea6","train.freight.domestic.fuel","2020",250.8
"iea6","train.freight.domestic.fuel","2025",288.4
"iea6","train.freight.domestic.fuel","2030",312
"iea6","train.freight.domestic.fuel","2035",325.3
"iea6","train.freight.domestic.fuel","2040",330.8
"iea6","train.freight.domestic.fuel","2045",330.6
"iea6","train.freight.domestic.fuel","2050",328.7
"iea6","train.freight.domestic.elec","2011",295.6
"iea6","train.freight.domestic.elec","2015",333.9
"iea6","train.freight.domestic.elec","2020",403.1
"iea6","train.freight.domestic.elec","2025",458.2
"iea6","train.freight.domestic.elec","2030",490
"iea6","train.freight.domestic.elec","2035",505
"iea6","train.freight.domestic.elec","2040",507.8
"iea6","train.freight.domestic.elec","2045",501.6
"iea6","train.freight.domestic.elec","2050",493.1
"iea6","ship.freight.domestic.fuel","2011",110.4
"iea6","ship.freight.domestic.fuel","2015",117.3
"iea6","ship.freight.domestic.fuel","2020",138.1
