"plant","variable","baseline","2011","2015","2020","2025","2030","2035","2040","2045","2050"
"unabated.solid.ultra","fuel","iea2",1815.487693,1963.170831,2083.729381,2214.090117,1972.750923,1718.218815,1324.578736,711.2108083,233.965473
"unabated.solid.super","fuel","iea2",4251.009515,4369.257737,4339.264705,4384.42091,3757.041004,3173.0806,2386.612608,1256.175453,406.5821094
"unabated.solid.sub","fuel","iea2",20294.56845,19238.01429,16871.66764,15120.14202,11528.82477,8682.872121,5831.177812,2741.535761,792.277148
"unabated.liquid.new.tech","fuel","iea2",807.0047278,881.6047356,1134.494662,1219.818102,951.376327,816.0331511,717.0407945,347.4164415,126.7151998
"unabated.liquid.old.tech","fuel","iea2",2353.763789,2165.302158,2376.684238,2193.810685,1416.493864,968.2294515,703.7086276,317.8266423,94.76564089
"unabated.gas.OC","fuel","iea2",4280.64428,4139.587313,4024.823203,3672.844664,3572.349742,3479.941857,2758.721188,1509.377998,535.6665557
"unabated.gas.CC","fuel","iea2",6215.729406,5955.18483,6862.921671,7527.723757,7630.768411,7362.923382,6803.770294,4409.378422,1829.107573
"CCS.solid.ultra","fuel","iea2",0,106.1095014,417.1579607,633.4514962,2299.023074,3172.85427,4094.361538,4301.34799,5011.591292
"CCS.solid.super","fuel","iea2",0,0,0,724.7241218,2485.14154,3253.11408,3638.593327,3679.572577,3464.947328
"CCS.solid.sub","fuel","iea2",0,0,0,0,0,0,0,0,0
"CCS.liquid.new.tech","fuel","iea2",0,0,0,0,0,0,0,0,0
"CCS.liquid.old.tech","fuel","iea2",0,0,0,0,0,0,0,0,0
"CCS.gas.OC","fuel","iea2",0,0,0,63.84203146,218.3426264,377.3249877,556.6588531,866.4650978,1055.267485
"CCS.gas.CC","fuel","iea2",0,0,0,0,0,0,0,0,0
"nuclear","fuel","iea2",7350.791876,8253.646686,9954.381944,11799.75515,13073.82,15196.93328,16599.94259,18374.6231,20227.383
"unabated.solid.ultra","fuel","iea4",1815.487693,1963.975235,2323.755654,2831.1019,3228.418335,3537.34868,3737.486363,3557.80707,3488.870121
"unabated.solid.super","fuel","iea4",4251.009515,4371.048028,4839.1077,5606.249842,6148.419408,6532.516333,6734.165231,6283.973553,6062.912423
"unabated.solid.sub","fuel","iea4",20294.56845,19245.89701,18815.12707,19333.7491,18866.98865,17875.68962,16453.49344,13714.43629,11814.3589
"unabated.liquid.new.tech","fuel","iea4",807.0047278,881.9659706,1432.61609,1699.240962,1978.575638,2547.860281,3112.986737,3496.56682,3721.869658
"unabated.liquid.old.tech","fuel","iea4",2353.763789,2166.189385,3001.227062,3056.040056,2945.879744,3023.055326,3055.105988,3198.760794,2783.44953
"unabated.gas.OC","fuel","iea4",4280.64428,4141.283497,4066.571053,3872.880949,4068.737689,4398.878942,4197.805712,3791.116151,3544.884758
"unabated.gas.CC","fuel","iea4",6215.729406,5957.62495,6934.107959,7937.710574,8691.084936,9307.226943,10352.95119,11075.06918,12104.4995
"CCS.solid.ultra","fuel","iea4",0,106.1095014,223.9058702,139.6036355,333.9633518,434.8906637,536.3044577,543.9571963,692.9274848
"CCS.solid.super","fuel","iea4",0,0,0,159.7188148,360.9995079,445.8915603,476.6051564,465.3262157,479.0808141
"CCS.solid.sub","fuel","iea4",0,0,0,0,0,0,0,0,0
"CCS.liquid.new.tech","fuel","iea4",0,0,0,0,0,0,0,0,0
"CCS.liquid.old.tech","fuel","iea4",0,0,0,0,0,0,0,0,0
"CCS.gas.OC","fuel","iea4",0,0,0,14.06986919,31.71713941,51.71845298,72.91457327,109.5749347,145.9065197
"CCS.gas.CC","fuel","iea4",0,0,0,0,0,0,0,0,0
"nuclear","fuel","iea4",7350.791876,8261.992048,9291.963191,10079.25182,10546.55307,11685.79982,12293.45292,12942.03593,13570.18294
"unabated.solid.ultra","fuel","iea6",1815.487693,1963.975235,2417.205658,3062.157192,3728.990623,4263.880148,4778.188567,4905.50214,5176.558033
"unabated.solid.super","fuel","iea6",4251.009515,4371.048028,5033.71277,6063.793846,7101.743311,7874.221409,8609.291966,8664.338763,8995.75419
"unabated.solid.sub","fuel","iea6",20294.56845,19245.89701,19571.77877,20911.63829,21792.35045,21547.15438,21034.96484,18909.45608,17529.37551
"unabated.liquid.new.tech","fuel","iea6",807.0047278,881.9659706,1516.327906,1863.537088,2292.169913,3174.775275,4191.731089,5351.075398,6348.885569
"unabated.liquid.old.tech","fuel","iea6",2353.763789,2166.189385,3176.59726,3351.522306,3412.78685,3766.894665,4113.792904,4895.319057,4748.098183
"unabated.gas.OC","fuel","iea6",4280.64428,4141.283497,4164.349767,4085.264509,4458.146843,4929.266759,4849.087536,4567.848331,4400.4317
"unabated.gas.CC","fuel","iea6",6215.729406,5957.62495,7100.835197,8373.0039,9522.88789,10429.431,11959.19249,13344.15361,15025.88291
"CCS.solid.ultra","fuel","iea6",0,106.1095014,213.2436859,93.06909035,96.80097152,94.7474213,86.71050247,64.60299243,53.92431788
"CCS.solid.super","fuel","iea6",0,0,0,106.4792098,104.6375386,97.14413076,77.05823062,55.26439616,37.28255363
"CCS.solid.sub","fuel","iea6",0,0,0,0,0,0,0,0,0
"CCS.liquid.new.tech","fuel","iea6",0,0,0,0,0,0,0,0,0
"CCS.liquid.old.tech","fuel","iea6",0,0,0,0,0,0,0,0,0
"CCS.gas.OC","fuel","iea6",0,0,0,9.379912795,9.193373742,11.26763682,11.78893666,13.01365021,11.35459298
"CCS.gas.CC","fuel","iea6",0,0,0,0,0,0,0,0,0
"nuclear","fuel","iea6",7350.791876,8297.227643,8935.712846,9006.313238,8744.021205,9657.450152,9487.410834,9677.102821,9862.449591
"unabated.solid.ultra","fuel","rcp6",1815.487693,1959.66671,2393.412628,2945.847729,3411.052878,3688.567439,4025.420417,3806.503192,3586.658677
"unabated.solid.super","fuel","rcp6",4251.009515,4361.45892,4984.164946,5833.473661,6496.24105,6811.776054,7252.961907,6723.232855,6232.848085
"unabated.solid.sub","fuel","rcp6",20294.56845,19203.67579,19379.12991,20117.35462,19934.31125,18639.8607,17721.06223,14673.09623,12145.50024
"unabated.liquid.new.tech","fuel","rcp6",807.0047278,880.0311333,1436.458161,1730.492556,2080.725307,2514.451762,3062.485985,3059.214379,2832.851392
"unabated.liquid.old.tech","fuel","rcp6",2353.763789,2161.437246,3009.275921,3112.245223,3097.969276,2983.415868,3005.544212,2798.658088,2118.585443
"unabated.gas.OC","fuel","rcp6",4280.64428,4132.198441,4286.991641,4182.137693,4645.552112,5099.4223,5230.246304,4904.248008,4676.778945
"unabated.gas.CC","fuel","rcp6",6215.729406,5944.555244,7309.957818,8571.551521,9923.197574,10789.44914,12899.23555,14326.88522,15969.50882
"CCS.solid.ultra","fuel","rcp6",0,106.1095014,213.2436859,93.06909035,96.80097152,94.7474213,86.71050247,64.60299243,53.92431788
"CCS.solid.super","fuel","rcp6",0,0,0,106.4792098,104.6375386,97.14413076,77.05823062,55.26439616,37.28255363
"CCS.solid.sub","fuel","rcp6",0,0,0,0,0,0,0,0,0
"CCS.liquid.new.tech","fuel","rcp6",0,0,0,0,0,0,0,0,0
"CCS.liquid.old.tech","fuel","rcp6",0,0,0,0,0,0,0,0,0
"CCS.gas.OC","fuel","rcp6",0,0,0,9.379912795,9.193373742,11.26763682,11.78893666,13.01365021,11.35459298
"CCS.gas.CC","fuel","rcp6",0,0,0,0,0,0,0,0,0
"nuclear","fuel","rcp6",7350.791876,8368.608223,8202.56202,6763.865194,4919.17179,5288.906444,3354.973259,2438.665879,1525.625241
"unabated.solid.ultra","fuel","rcp8",1815.487693,1955.979806,2870.880104,3914.731021,5031.114309,6240.372782,7452.054475,8444.074012,9822.060743
"unabated.solid.super","fuel","rcp8",4251.009515,4353.194172,5938.561419,7670.274715,9458.289448,11359.95411,13224.59428,14682.58846,16799.44717
"unabated.solid.sub","fuel","rcp8",20294.56845,19174.94421,22806.29033,25816.81753,28003.5538,29654.83139,30472.55916,29863.1893,30126.49946
"unabated.liquid.new.tech","fuel","rcp8",807.0047278,875.9075674,2368.328882,3443.60874,4850.347175,7053.346679,9161.48314,11447.33646,14275.52452
"unabated.liquid.old.tech","fuel","rcp8",2353.763789,2155.29209,4721.803649,5888.248406,6758.877786,7232.69593,7907.310256,9229.168609,9644.032994
"unabated.gas.OC","fuel","rcp8",4280.64428,4124.379919,3768.63384,3590.526064,3673.128742,3772.782045,3239.153734,2468.941009,1835.820836
"unabated.gas.CC","fuel","rcp8",6215.729406,5928.641819,6415.283266,7491.926514,7985.95907,8292.734468,8725.174641,8399.688642,8620.457067
"CCS.solid.ultra","fuel","rcp8",0,105.9824064,215.3462271,104.2913633,155.2846249,178.6439211,197.6281018,182.8781028,211.6539041
"CCS.solid.super","fuel","rcp8",0,0,0,119.3005272,167.811459,183.089284,175.5305599,156.3272864,146.1990978
"CCS.solid.sub","fuel","rcp8",0,0,0,0,0,0,0,0,0
"CCS.liquid.new.tech","fuel","rcp8",0,0,0,0,0,0,0,0,0
"CCS.liquid.old.tech","fuel","rcp8",0,0,0,0,0,0,0,0,0
"CCS.gas.OC","fuel","rcp8",0,0,0,10.50970143,14.74462995,21.23818433,26.85728123,36.81795394,44.53494551
