"scenario","key","measure","type","year","value"
"IEA6","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"IEA6","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"IEA6","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"IEA6","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"IEA6","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"IEA6","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"IEA6","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"IEA6","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"IEA6","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"IEA6","cool","efficiency","cooling.FOC.residential","2011",3.67
"IEA6","cool","efficiency","cooling.FOC.residential","2015",3.89
"IEA6","cool","efficiency","cooling.FOC.residential","2020",4.11
"IEA6","cool","efficiency","cooling.FOC.residential","2025",4.28
"IEA6","cool","efficiency","cooling.FOC.residential","2030",4.4
"IEA6","cool","efficiency","cooling.FOC.residential","2035",4.53
"IEA6","cool","efficiency","cooling.FOC.residential","2040",4.65
"IEA6","cool","efficiency","cooling.FOC.residential","2045",4.77
"IEA6","cool","efficiency","cooling.FOC.residential","2050",4.88
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2011",919.32
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2015",1036.67
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2020",1173.59
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2025",1349.63
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2030",1564.79
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2035",1740.83
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2040",1975.55
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2045",2151.59
"IEA6","cool","energy_demand_TWh","cooling.FOC.non.residential","2050",2308.07
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2011",684.6
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2015",841.08
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2020",1036.67
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2025",1349.63
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2030",1721.27
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2035",2249.39
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2040",2777.51
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2045",3364.3
"IEA6","cool","energy_demand_TWh","cooling.FOC.residential","2050",3872.86
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2011",3149.97
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2015",3815.79
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2020",4670.96
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2025",5775.49
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2030",7094.24
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2035",8283.06
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2040",9813.71
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2045",11138.9
"IEA6","cool","demand_TWh","cooling.FOC.non.residential","2050",12328.88
"IEA6","cool","demand_TWh","cooling.FOC.residential","2011",2509.62
"IEA6","cool","demand_TWh","cooling.FOC.residential","2015",3272.02
"IEA6","cool","demand_TWh","cooling.FOC.residential","2020",4265.62
"IEA6","cool","demand_TWh","cooling.FOC.residential","2025",5775.49
"IEA6","cool","demand_TWh","cooling.FOC.residential","2030",7571.88
"IEA6","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"IEA6","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"IEA6","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"IEA6","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
"IEA4","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"IEA4","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"IEA4","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"IEA4","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"IEA4","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"IEA4","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"IEA4","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"IEA4","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"IEA4","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"IEA4","cool","efficiency","cooling.FOC.residential","2011",3.67
"IEA4","cool","efficiency","cooling.FOC.residential","2015",3.89
"IEA4","cool","efficiency","cooling.FOC.residential","2020",4.11
"IEA4","cool","efficiency","cooling.FOC.residential","2025",4.28
"IEA4","cool","efficiency","cooling.FOC.residential","2030",4.4
"IEA4","cool","efficiency","cooling.FOC.residential","2035",4.53
"IEA4","cool","efficiency","cooling.FOC.residential","2040",4.65
"IEA4","cool","efficiency","cooling.FOC.residential","2045",4.77
"IEA4","cool","efficiency","cooling.FOC.residential","2050",4.88
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2011",919.32
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2015",1036.67
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2020",1173.59
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2025",1349.63
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2030",1564.79
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2035",1740.83
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2040",1975.55
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2045",2151.59
"IEA4","cool","energy_demand_TWh","cooling.FOC.non.residential","2050",2308.07
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2011",684.6
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2015",841.08
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2020",1036.67
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2025",1349.63
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2030",1721.27
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2035",2249.39
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2040",2777.51
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2045",3364.3
"IEA4","cool","energy_demand_TWh","cooling.FOC.residential","2050",3872.86
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2011",3149.97
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2015",3815.79
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2020",4670.96
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2025",5775.49
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2030",7094.24
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2035",8283.06
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2040",9813.71
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2045",11138.9
"IEA4","cool","demand_TWh","cooling.FOC.non.residential","2050",12328.88
"IEA4","cool","demand_TWh","cooling.FOC.residential","2011",2509.62
"IEA4","cool","demand_TWh","cooling.FOC.residential","2015",3272.02
"IEA4","cool","demand_TWh","cooling.FOC.residential","2020",4265.62
"IEA4","cool","demand_TWh","cooling.FOC.residential","2025",5775.49
"IEA4","cool","demand_TWh","cooling.FOC.residential","2030",7571.88
"IEA4","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"IEA4","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"IEA4","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"IEA4","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
"IEA2","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"IEA2","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"IEA2","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"IEA2","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"IEA2","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"IEA2","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"IEA2","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"IEA2","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"IEA2","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"IEA2","cool","efficiency","cooling.FOC.residential","2011",3.67
"IEA2","cool","efficiency","cooling.FOC.residential","2015",3.89
"IEA2","cool","efficiency","cooling.FOC.residential","2020",4.11
"IEA2","cool","efficiency","cooling.FOC.residential","2025",4.28
"IEA2","cool","efficiency","cooling.FOC.residential","2030",4.4
"IEA2","cool","efficiency","cooling.FOC.residential","2035",4.53
"IEA2","cool","efficiency","cooling.FOC.residential","2040",4.65
"IEA2","cool","efficiency","cooling.FOC.residential","2045",4.77
