"scenario","type","year","efficiency","share"
"iea6","SMR","2011",0.75,0.75
"iea6","SMR","2015",0.75,0.75
"iea6","SMR","2020",0.76,0.75
"iea6","SMR","2025",0.76,0.75
"iea6","SMR","2030",0.77,0.75
"iea6","SMR","2035",0.77,0.75
"iea6","SMR","2040",0.77,0.75
"iea6","SMR","2045",0.77,0.75
"iea6","SMR","2050",0.78,0.75
"iea6","coal","2011",0.45,0.25
"iea6","coal","2015",0.45,0.25
"iea6","coal","2020",0.45,0.2
"iea6","coal","2025",0.45,0.2
"iea6","coal","2030",0.46,0.2
"iea6","coal","2035",0.46,0.2
"iea6","coal","2040",0.46,0.2
"iea6","coal","2045",0.46,0.2
"iea6","coal","2050",0.47,0.2
"iea6","elec","2011",0.6,0
"iea6","elec","2015",0.62,0
"iea6","elec","2020",0.64,0.05
"iea6","elec","2025",0.66,0.05
"iea6","elec","2030",0.68,0.05
"iea6","elec","2035",0.68,0.05
"iea6","elec","2040",0.69,0.05
"iea6","elec","2045",0.7,0.05
"iea6","elec","2050",0.7,0.05
"iea4","SMR","2011",0.75,0.75
"iea4","SMR","2015",0.75,0.75
"iea4","SMR","2020",0.76,0.75
"iea4","SMR","2025",0.76,0.75
"iea4","SMR","2030",0.77,0.75
"iea4","SMR","2035",0.77,0.75
"iea4","SMR","2040",0.77,0.75
"iea4","SMR","2045",0.77,0.75
"iea4","SMR","2050",0.78,0.75
"iea4","coal","2011",0.45,0.25
"iea4","coal","2015",0.45,0.25
"iea4","coal","2020",0.45,0.2
"iea4","coal","2025",0.45,0.2
"iea4","coal","2030",0.46,0.2
"iea4","coal","2035",0.46,0.2
"iea4","coal","2040",0.46,0.2
"iea4","coal","2045",0.46,0.2
"iea4","coal","2050",0.47,0.2
"iea4","elec","2011",0.6,0
"iea4","elec","2015",0.62,0
"iea4","elec","2020",0.64,0.05
"iea4","elec","2025",0.66,0.05
"iea4","elec","2030",0.68,0.05
"iea4","elec","2035",0.68,0.05
"iea4","elec","2040",0.69,0.05
"iea4","elec","2045",0.7,0.05
"iea4","elec","2050",0.7,0.05
"iea2","SMR","2011",0.75,0.75
"iea2","SMR","2015",0.75,0.75
"iea2","SMR","2020",0.76,0.75
"iea2","SMR","2025",0.76,0.8
"iea2","SMR","2030",0.77,0.8
"iea2","SMR","2035",0.77,0.8
"iea2","SMR","2040",0.77,0.65
"iea2","SMR","2045",0.77,0.5
"iea2","SMR","2050",0.78,0.3
"iea2","coal","2011",0.45,0.25
"iea2","coal","2015",0.45,0.25
"iea2","coal","2020",0.45,0.2
"iea2","coal","2025",0.45,0.1
"iea2","coal","2030",0.46,0.05
"iea2","coal","2035",0.46,0
"iea2","coal","2040",0.46,0
"iea2","coal","2045",0.46,0
"iea2","coal","2050",0.47,0
"iea2","elec","2011",0.6,0
"iea2","elec","2015",0.62,0
"iea2","elec","2020",0.64,0.05
"iea2","elec","2025",0.66,0.1
"iea2","elec","2030",0.68,0.15
"iea2","elec","2035",0.68,0.2
"iea2","elec","2040",0.69,0.35
"iea2","elec","2045",0.7,0.5
"iea2","elec","2050",0.7,0.7
"rcp8","SMR","2011",0.75,0.75
"rcp8","SMR","2015",0.75,0.75
"rcp8","SMR","2020",0.76,0.75
"rcp8","SMR","2025",0.76,0.75
"rcp8","SMR","2030",0.77,0.75
"rcp8","SMR","2035",0.77,0.75
"rcp8","SMR","2040",0.77,0.75
"rcp8","SMR","2045",0.77,0.75
"rcp8","SMR","2050",0.78,0.75
"rcp8","coal","2011",0.45,0.25
"rcp8","coal","2015",0.45,0.25
"rcp8","coal","2020",0.45,0.2
"rcp8","coal","2025",0.45,0.2
"rcp8","coal","2030",0.46,0.2
"rcp8","coal","2035",0.46,0.2
"rcp8","coal","2040",0.46,0.2
"rcp8","coal","2045",0.46,0.2
"rcp8","coal","2050",0.47,0.2
"rcp8","elec","2011",0.6,0
"rcp8","elec","2015",0.62,0
"rcp8","elec","2020",0.64,0.05
"rcp8","elec","2025",0.66,0.05
"rcp8","elec","2030",0.68,0.05
"rcp8","elec","2035",0.68,0.05
"rcp8","elec","2040",0.69,0.05
"rcp8","elec","2045",0.7,0.05
"rcp8","elec","2050",0.7,0.05
"rcp6","SMR","2011",0.75,0.75
"rcp6","SMR","2015",0.75,0.75
"rcp6","SMR","2020",0.76,0.75
"rcp6","SMR","2025",0.76,0.75
"rcp6","SMR","2030",0.77,0.75
"rcp6","SMR","2035",0.77,0.75
"rcp6","SMR","2040",0.77,0.75
"rcp6","SMR","2045",0.77,0.75
"rcp6","SMR","2050",0.78,0.75
"rcp6","coal","2011",0.45,0.25
"rcp6","coal","2015",0.45,0.25
"rcp6","coal","2020",0.45,0.2
"rcp6","coal","2025",0.45,0.2
"rcp6","coal","2030",0.46,0.2
"rcp6","coal","2035",0.46,0.2
"rcp6","coal","2040",0.46,0.2
"rcp6","coal","2045",0.46,0.2
"rcp6","coal","2050",0.47,0.2
"rcp6","elec","2011",0.6,0
"rcp6","elec","2015",0.62,0
"rcp6","elec","2020",0.64,0.05
"rcp6","elec","2025",0.66,0.05
"rcp6","elec","2030",0.68,0.05
"rcp6","elec","2035",0.68,0.05
"rcp6","elec","2040",0.69,0.05
"rcp6","elec","2045",0.7,0.05
"rcp6","elec","2050",0.7,0.05
