"scenario","type","year","occupancy","passenger.km","vehicle.km","TWh.vehicle.km","vehicle.km.vehicle","vehicles"
"iea6","walk.passenger.urban","2011",1,2.7e+12,2.7e+12,0,0,0
"iea6","walk.passenger.urban","2015",1,3.05e+12,3.05e+12,0,0,0
"iea6","walk.passenger.urban","2020",1,3.38e+12,3.38e+12,0,0,0
"iea6","walk.passenger.urban","2025",1,3.53e+12,3.53e+12,0,0,0
"iea6","walk.passenger.urban","2030",1,3.57e+12,3.57e+12,0,0,0
"iea6","walk.passenger.urban","2035",1,3.47e+12,3.47e+12,0,0,0
"iea6","walk.passenger.urban","2040",1,3.26e+12,3.26e+12,0,0,0
"iea6","walk.passenger.urban","2045",1,2.97e+12,2.97e+12,0,0,0
"iea6","walk.passenger.urban","2050",1,2.59e+12,2.59e+12,0,0,0
"iea6","bike.passenger.urban","2011",1,1.91e+12,1.91e+12,0,1000,1.91e+09
"iea6","bike.passenger.urban","2015",1,2.17e+12,2.17e+12,0,1000,2.17e+09
"iea6","bike.passenger.urban","2020",1,2.41e+12,2.41e+12,0,1000,2.41e+09
"iea6","bike.passenger.urban","2025",1,2.52e+12,2.52e+12,0,1000,2.52e+09
"iea6","bike.passenger.urban","2030",1,2.56e+12,2.56e+12,0,1000,2.56e+09
"iea6","bike.passenger.urban","2035",1,2.49e+12,2.49e+12,0,1000,2.49e+09
"iea6","bike.passenger.urban","2040",1,2.35e+12,2.35e+12,0,1000,2.35e+09
"iea6","bike.passenger.urban","2045",1,2.14e+12,2.14e+12,0,1000,2.14e+09
"iea6","bike.passenger.urban","2050",1,1.88e+12,1.88e+12,0,1000,1.88e+09
"iea6","motorbike.passenger.urban.fuel","2011",1.09,3.49e+12,3.21e+12,3.81e-10,10000,3.21e+08
"iea6","motorbike.passenger.urban.fuel","2015",1.1,4.02e+12,3.65e+12,3.54e-10,10000,3.65e+08
"iea6","motorbike.passenger.urban.fuel","2020",1.1,4.73e+12,4.29e+12,3.32e-10,10000,4.29e+08
"iea6","motorbike.passenger.urban.fuel","2025",1.11,5.27e+12,4.76e+12,3.09e-10,10000,4.76e+08
"iea6","motorbike.passenger.urban.fuel","2030",1.11,5.72e+12,5.16e+12,2.89e-10,10000,5.16e+08
