Baseline,Mitigation,Baseline 2050 GHG Emissions,Mitigation 2050 GHG Emissions,Difference in 2050 GHG Emissions
AIM/CGE 2.0|SSP1-Baseline,AIM/CGE 2.0|SSP1-26,61.80108556,19.42165602,42.37942954
AIM/CGE 2.0|SSP1-Baseline,AIM/CGE 2.0|SSP1-34,61.80108556,35.68552262,26.11556295
AIM/CGE 2.0|SSP1-Baseline,AIM/CGE 2.0|SSP1-45,61.80108556,53.25573812,8.545347437
AIM/CGE 2.0|SSP4-Baseline,AIM/CGE 2.0|SSP4-26,67.18818481,20.40627236,46.78191245
AIM/CGE 2.0|SSP4-Baseline,AIM/CGE 2.0|SSP4-34,67.18818481,35.88601488,31.30216993
AIM/CGE 2.0|SSP4-Baseline,AIM/CGE 2.0|SSP4-45,67.18818481,53.19411591,13.99406891
AIM/CGE 2.1|CD-LINKS_INDCi,AIM/CGE 2.1|CD-LINKS_INDC2030i_1600,58.83395675,24.56135006,34.27260669
AIM/CGE 2.1|CD-LINKS_INDCi,AIM/CGE 2.1|CD-LINKS_NDC2030i_1000,58.83395675,14.36075917,44.47319758
AIM/CGE 2.1|CD-LINKS_INDCi,AIM/CGE 2.1|CD-LINKS_NPi2020_1000,58.83395675,14.78842914,44.0455276
AIM/CGE 2.1|CD-LINKS_INDCi,AIM/CGE 2.1|CD-LINKS_NPi2020_1600,58.83395675,27.60404291,31.22991384
AIM/CGE 2.1|CD-LINKS_INDCi,AIM/CGE 2.1|CD-LINKS_NPi2020_400,58.83395675,0.263645741,58.57031101
AIM/CGE 2.1|CO_CurPol,AIM/CGE 2.1|CO_Bridge,67.37268306,15.41998884,51.95269422
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_800f,48.03346166,17.27421798,30.75924368
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_900f,48.03346166,22.29662691,25.73683475
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1000f,48.03346166,25.49417409,22.53928757
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1200,48.03346166,26.37920236,21.6542593
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1200f,48.03346166,30.37051464,17.66294701
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1400,48.03346166,32.16554273,15.86791892
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1400f,48.03346166,34.51316865,13.52029301
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1600,48.03346166,35.86523649,12.16822517
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1600f,48.03346166,37.14440863,10.88905303
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1800,48.03346166,39.18064037,8.852821285
AIM/CGE 2.2|EN_INDCi2100,AIM/CGE 2.2|EN_INDCi2030_1800f,48.03346166,39.18064037,8.852821285
AIM/CGE 2.2|EN_NPi2020_1800f,AIM/CGE 2.2|EN_NPi2020_300f,38.48750052,11.3864314,27.10106912
AIM/CGE 2.2|EN_NPi2020_1800f,AIM/CGE 2.2|EN_NPi2020_400f,38.48750052,15.16528138,23.32221914
AIM/CGE 2.2|EN_NPi2020_1800f,AIM/CGE 2.2|EN_NPi2020_500f,38.48750052,18.83663255,19.65086797
AIM/CGE 2.2|EN_NPi2020_1800,AIM/CGE 2.2|EN_NPi2020_600,38.48750052,7.29771655,31.18978397
AIM/CGE 2.2|EN_NPi2020_1800f,AIM/CGE 2.2|EN_NPi2020_600f,38.48750052,22.03418803,16.45331249
AIM/CGE 2.2|EN_NPi2020_1800,AIM/CGE 2.2|EN_NPi2020_700,38.48750052,12.70407862,25.7834219
AIM/CGE 2.2|EN_NPi2020_1800f,AIM/CGE 2.2|EN_NPi2020_700f,38.48750052,24.3717951,14.11570542
AIM/CGE 2.2|EN_NPi2020_1800,AIM/CGE 2.2|EN_NPi2020_800,38.48750052,17.58352565,20.90397487
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_800f,76.70501099,26.33651772,50.36849326
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_900,76.70501099,22.02906861,54.67594238
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_900f,76.70501099,28.23740102,48.46760997
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1000,76.70501099,25.09368306,51.61132792
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1000f,76.70501099,29.9793191,46.72569188
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1200,76.70501099,29.40775134,47.29725965
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1200f,76.70501099,32.52428906,44.18072192
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1400,76.70501099,33.30665475,43.39835624
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1400f,76.70501099,34.45356064,42.25145035
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1600,76.70501099,36.6894611,40.01554989
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1600f,76.70501099,36.6894611,40.01554989
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1800,76.70501099,38.48750052,38.21751046
AIM/CGE 2.2|EN_NPi2100,AIM/CGE 2.2|EN_NPi2020_1800f,76.70501099,38.48750052,38.21751046
